name,name_en,scientific_name,common_names,family,category,habitat_types,water_types,depth_range_min,depth_range_max,temperature_range_min,temperature_range_max,geographic_zones,countries,fao_zones,average_size_cm,max_size_cm,average_weight_kg,max_weight_kg,rarity,icon_url,photo_url,description,fishbase_id,gbif_id
Rason,Cleaver Wrasse,Xyrichtys novacula,,Labridae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Xyrichtysnovacula.jpg/120px-Xyrichtysnovacula.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Xyrichtysnovacula.jpg/120px-Xyrichtysnovacula.jpg,"Xyrichtys novacula, communément appelé Rason, est un poisson osseux, benthique, littoral, de la famille des labridés. L’espèce est caractéristique du genre Xyrichtys.",,2383057
Loup moucheté,Black-spotted Bass,Dicentrarchus punctatus,,Moronidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,Dicentrarchus punctatus,,2394640
Mulet labéon,Boxlip mullet,Oedalechilus labeo,,Mugilidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,,,2400921
Rouget-barbet de roche,Red Stripped Mullet,Mullus surmuletus,,Mullidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Surmulets.jpg/120px-Surmulets.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Surmulets.jpg/120px-Surmulets.jpg,"Le rouget de roche ou rouget-barbet de roche (Mullus surmuletus) est une espèce de poissons marins, carnivore, se nourrissant surtout sur le fond,, de la famille des Mullidae.",,2396862
Rouget de vase,Blunt-snouted Mullet,Mullus barbatus,,Mullidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Mullus_barbatus_Linnaeus%2C_1758_1.jpg/120px-Mullus_barbatus_Linnaeus%2C_1758_1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Mullus_barbatus_Linnaeus%2C_1758_1.jpg/120px-Mullus_barbatus_Linnaeus%2C_1758_1.jpg,"Le Rouget de vase (Mullus barbatus) est une espèce de poissons marins de la famille des Mullidae, également appelé Barbet, ou Rouget barbet. Le nom vernaculaire Rouget barbet est aussi employé pour Mullus surmuletus.",,4284897
Cernier,Atlantic Wreckfish,Polyprion americanus,,Polyprionidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,"Cernier commun, Cabot de Bosques, Mérou fanfré",,5211265
Castagnole,Damselfish,Chromis chromis,,Pomacentridae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Chromis_chromis_2.jpg/120px-Chromis_chromis_2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Chromis_chromis_2.jpg/120px-Chromis_chromis_2.jpg,"La castagnole, castagnole noire, petite castagnole ou demoiselle bleue (Chromis chromis) est une espèce de poissons d'eau de mer de la famille des Pomacentridae qui se rencontre dans l'Atlantique-est et en Méditerranée.",,5212224
Tassergal,Ancho,Pomatomus saltatrix,,Pomatomidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,Pomatomus saltatrix,,5208090
Poisson perroquet,European parrotfish,Sparisoma cretense,,Scaridae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,Le Poisson-perroquet méditerranéen (Sparisoma cretense) est une espèce de poissons-perroquets (famille des Scaridae). C'est la seule espèce de ce groupe présente en mer Méditerranée.,,2393905
Corb,Brown Meagre,Sciaena umbra,,Sciaenidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Poisson-Corb.jpg/120px-Poisson-Corb.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Poisson-Corb.jpg/120px-Poisson-Corb.jpg,Sciaena umbra,,2399670
Maquereau,Atlantic Mackerel,Scomber scombrus,,Scombridae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Scsco_u0.gif/120px-Scsco_u0.gif,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Scsco_u0.gif/120px-Scsco_u0.gif,"Le Maquereau (Scomber scombrus), maquereau bleu ou maquereau commun est une espèce de poissons téléostéens de haute mer, apprécié pour sa chair et faisant l'objet d'une pêche industrielle.",,2374149
Maquereau espagnol,Atlantic chub mackerel,Scomber japonicus,,Scombridae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,Le maquereau espagnol Pacifique (Scomber japonicus) est une espèce de poissons marins de la famille des Scombridae. Il est également appelé maquereau blanc ou billard.,,7599552
Bonite à dos rayé,Atlantic Bonito,Sarda sarda,,Scombridae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,"La bonite à dos rayé (Sarda sarda), aussi appelée pélamide (du latin Pelamis, signifiant jeune thon), est un poisson de la famille des scombridés. C'est une bonite que l'on trouve de l'Atlantique à la mer Méditerranée et la mer Noire.",,5208593
Thon blanc,Albacore Tuna,Thunnus alalunga,,Scombridae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,Germon,,9694948
Thon rouge,Atlantic Bluefin Tuna,Thunnus thynnus,,Scombridae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,"Le thon rouge du Nord (Thunnus thynnus), aussi appelé thon rouge de l'Atlantique ou  « scombres », ou thon rouge de Méditerranée plus au sud, est l'une des trois espèces de thons rouges avec le thon rouge du Pacifique (Thunnus orientalis) et le thon rouge du Sud (Thunnus maccoyii).",,2373980
Bonitou,Bonito,Auxis rochei,,Scombridae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,,,4286088
