name,name_en,scientific_name,common_names,family,category,habitat_types,water_types,depth_range_min,depth_range_max,temperature_range_min,temperature_range_max,geographic_zones,countries,fao_zones,average_size_cm,max_size_cm,average_weight_kg,max_weight_kg,rarity,icon_url,photo_url,description,fishbase_id,gbif_id
Saumon rose à bosse,,Oncorhynchus gorbuscha,,Salmonidés,,,,,,,,,,,,,,,,,,Oncorhynchus gorbuscha,,
Saumon argenté,,Oncorhynchus kisutch,,Salmonidés,,,,,,,,,,,,,,,,,,"Oncorhynchus kisutch, le saumon argenté ou saumon coho, est une espèce de poissons de la famille des Salmonidés.",,
Truite arc-en-ciel,,Oncorhynchus mykiss,,Salmonidés,,,,,,,,,,,,,,,,,,Oncorhynchus mykiss,,
Saumon royal,,Oncorhynchus tshawytscha,,Salmonidés,,,,,,,,,,,,,,,,,,Saumon royal,,
Truite à grosses taches,,Salmo cettii,,Salmonidés,,,,,,,,,,,,,,,,,,"La truite à grosses taches (Salmo trutta macrostigma, syn. Salmo cettii) est une sous-espèce de la truite commune européenne (Salmo trutta) décrite en premier en Algérie.",,
Truite du Rhône,,Salmo rhodanensis,,Salmonidés,,,,,,,,,,,,,,,,,,Salmo rhodanensis,,
Saumon atlantique,,Salmo salar,,Salmonidés,,,,,,,,,,,,,,,,,,Salmo salar,,
Truite commune,,Salmo trutta,,Salmonidés,,,,,,,,,,,,,,,,,,Truite commune européenne,,
Omble de fontaine,,Salvelinus fontinalis,,Salmonidés,,,,,,,,,,,,,,,,,,Salvelinus fontinalis,,
Omble du Canada,,Salvelinus namaycush,,Salmonidés,,,,,,,,,,,,,,,,,,"Le touladi (Salvelinus namaycush) est un poisson d'eau douce de la famille des ombles, typique des  grands plans d'eau oligotrophes de l'Amérique du Nord. Il est aussi communément appelé truite grise, truite de lac ou omble du Canada. Le touladi est une espèce prisée comme poisson-trophée ainsi que comme source d'alimentation.",,
Omble chevalier,,Salvelinus umbla,,Salmonidés,,,,,,,,,,,,,,,,,,Salvelinus alpinus,,
Ombre de la Loire,,Thymallus ligericus,,Salmonidés,,,,,,,,,,,,,,,,,,"Ombre d'Auvergne, Ombre de la Loire",,
Ombre commun,,Thymallus thymallus,,Salmonidés,,,,,,,,,,,,,,,,,,Thymallus thymallus,,
Éperlan d'Europe,,Osmerus eperlanus,,Osméridés,,,,,,,,,,,,,,,,,,Éperlan d'Europe,,
Brochet aquitain,,Esox aquitanicus,,Ésocidés,,,,,,,,,,,,,,,,,,Brochet aquitain,,
Brochet cisalpin,,Esox cisalpinus,,Ésocidés,,,,,,,,,,,,,,,,,,"Esox cisalpinus, aussi appelé Brochet italien, Brochet cisalpin ou parfois Brochet du Sud, est une espèce de poissons d'eau douce que l'on trouve aujourd'hui exclusivement dans le centre et le Nord de l'Italie, ainsi que dans le Tessin en Suisse qui fait partie du bassin versant du Pô.",,
Grand brochet,,Esox lucius,,Ésocidés,,,,,,,,,,,,,,,,,,Esox lucius,,
Umbre pygmée,,Umbra pygmaea,,Umbridés,,,,,,,,,,,,,,,,,,Umbra pygmaea,,
Poisson-chien,,Umbra krameri,,Umbridés,,,,,,,,,,,,,,,,,,Umbra krameri,,
Lote,,Lota lota,,Lotidés,,,,,,,,,,,,,,,,,,Lota lota,,
Mulet doré,,Chelon auratus,,Mugilidés,,,,,,,,,,,,,,,,,,"Le mulet doré ou muge doré, Chelon auratus (anciennement Liza aurata), est une espèce de poissons marins de la famille des Mugilidae.",,
Mulet lippu,,Chelon labrosus,,Mugilidés,,,,,,,,,,,,,,,,,,Le mulet lippu (Chelon labrosus) est une espèce de poissons marins de la famille des Mugilidae. Il est aussi appelé mulet à grosses lèvres.,,
Mulet porc,,Chelon ramada,,Mugilidés,,,,,,,,,,,,,,,,,,"Mulet porc, Mulet capiton, Mulet calusse",,
Mulet sauteur,,Chelon saliens,,Mugilidés,,,,,,,,,,,,,,,,,,Mulet sauteur,,
Mulet à grosse tête,,Mugil cephalus,,Mugilidés,,,,,,,,,,,,,,,,,,"Mulet/Muge à grosse tête, Mulet/Muge cabot, Muge céphale",,
Athérine,,Atherina boyeri,,Athérinidés,,,,,,,,,,,,,,,,,,"Atherina boyeri (le Joël ou Athérine) est une espèce de poissons de la famille des Atherinidae que l'on rencontre dans l'océan Atlantique (du large du Portugal jusqu'à hauteur de la Mauritanie), en Méditerranée, dans la mer Noire et dans la Caspienne.",,
Aphanius de Corse,,Aphanius fasciatus,,Cyprinodontidés,,,,,,,,,,,,,,,,,,Aphanius fasciatus,,
Aphanius d'Espagne,,Aphanius iberus,,Cyprinodontidés,,,,,,,,,,,,,,,,,,Aphanius iberus,,
Gambusie de l'Ouest,,Gambusia affinis,,Pœciliidés,,,,,,,,,,,,,,,,,,"Gambusie, Guppy sauvage",,
Gambusie de l'Est,,Gambusia holbrooki,,Pœciliidés,,,,,,,,,,,,,,,,,,"Gambusia holbrooki, aussi appelée gambusie de l'est, ou parfois « guppy sauvage » avec risque de confusion, est une espèce de poissons téléostéens, cyprinodontiformes de la famille des Poeciliidae et donc cousine d'une espèce plus connue le guppy. Elle a notamment été utilisée dans la lutte contre les moustiques (notamment en Corse, en Vendée, et dans le sud de la France) pour lutter contre le paludisme, mais elle peut elle-même pâtir des pulvérisations d'insecticides chimiques (ex : diflubenzuron) destinés à la démoustication, et - comme le Guppy - interférer négativement avec les écosystèmes locaux et les espèces autochtones: c'est pourquoi elle est classée parmi les espèces envahissantes les plus nuisibles au XXIe siècle.",,
Cyprinodonte de Valence,,Valencia hispanica,,Valenciidés,,,,,,,,,,,,,,,,,,"Valencia hispanica est une espèce de poissons osseux du genre Valencia de la famille des Valenciidae, endémique du sud de la Catalogne et de la Communauté valencienne en Espagne.",,
Épinoche à trois épines,,Gasterosteus aculeatus,,Gastérostéidés,,,,,,,,,,,,,,,,,,Épinoche à trois épines,,
Épinochette à queue lisse,,Pungitius laevis,,Gastérostéidés,,,,,,,,,,,,,,,,,,"Épinochette lisse, Épinochette à queue lisse",,
Épinochette,,Pungitius pungitius,,Gastérostéidés,,,,,,,,,,,,,,,,,,"L'Épinochette piquante (Pungitius pungitius) est un poisson d'eau douce à saumâtre de l'hémisphère nord, plutôt nordique (trouvé jusque dans les régions arctiques), d'Asie (tout le nord de la Russie, jusqu'en Chine, Corée et Japon), d'Amérique du Nord (États-Unis, Canada) et d'Europe. En France, on la trouve dans le nord du pays, ainsi qu'en Belgique, où elle cohabite avec une deuxième espèce endémique de France et de Belgique : l'Épinochette lisse.",,
Epinochette du Poitou,,Pungitius vulgaris,,Gastérostéidés,,,,,,,,,,,,,,,,,,Épinochette du Poitou,,
Syngnathe de rivière,,Syngnathus abaster,,Syngnathidés,,,,,,,,,,,,,,,,,,"Le Syngnathe de lagune ou Syngnathe de rivière (Syngnathus abaster) est une espèce de poissons de la famille des Syngnathidae. On la trouve dans l'est de l'Atlantique, du sud du Golfe de Gascogne à Gibraltar, aussi dans la Méditerranée et dans la mer Noire. Comme espèce introduite, elle est mentionnée dans la mer Caspienne et les eaux douces de son bassin.",,
Chabot du Béarn,,Cottus aturi,,Cottidés,,,,,,,,,,,,,,,,,,"Chabot du Béarn, Chabot de l'Adour",,
Chabot d'Auvergne,,Cottus duranii,,Cottidés,,,,,,,,,,,,,,,,,,"Chabot d'Auvergne, Chabot de Dordogne",,
Chabot commun,,Cottus gobio,,Cottidés,,,,,,,,,,,,,,,,,,Cottus gobio,,
Chabot des Pyrénées,,Cottus hispaniolensis,,Cottidés,,,,,,,,,,,,,,,,,,"Chabot des Pyrénées, Chabot pyrénéen",,
Chabot fluviatile,,Cottus perifretum,,Cottidés,,,,,,,,,,,,,,,,,,Cottus perifretum est une espèce de poissons dulçaquicoles de la famille des Cottidae.,,
Chabot du Lez,,Cottus petiti,,Cottidés,,,,,,,,,,,,,,,,,,Cottus petiti,,
Chabot de Rhénanie,,Cottus rhenanus,,Cottidés,,,,,,,,,,,,,,,,,,"Chabot de Rhénanie, Chabot du Rhin",,
Chabot de l'Hérault,,Cottus rondeleti,,Cottidés,,,,,,,,,,,,,,,,,,"Le Chabot de l'Hérault (Cottus rondeleti)  est une espèce de poissons de la famille des Cottidae, endémique des bassins du département de l'Hérault en France. Son nom a été donné en l'honneur de Guillaume Rondelet, précurseur de l'ichtyologie européenne et d'un des tout premiers traités ichtyologiques.",,
Chabot savoyard,,Cottus sabaudicus,,Cottidés,,,,,,,,,,,,,,,,,,Cottus sabaudicus,,
Blennie fluviatile,,Salaria fluviatilis,,Blenniidés,,,,,,,,,,,,,,,,,,Salaria fluviatilis,,
Gobie fluviatile,,Neogobius fluviatilis,,Gobiidés,,,,,,,,,,,,,,,,,,Gobie fluviatile,,
Gobie à tache noire,,Neogobius melanostomus,,Gobiidés,,,,,,,,,,,,,,,,,,Neogobius melanostomus,,
Gobie de Kessler,,Ponticola kessleri,,Gobiidés,,,,,,,,,,,,,,,,,,"Neogobius kessleri · Gobie de Kessler, Gobie à grosse tête",,
Gobie demi-lune,,Proterorhinus semilunaris,,Gobiidés,,,,,,,,,,,,,,,,,,"Le Gobie demi-lune (Proterorhinus semilunaris), appelé aussi Gobie à nez tubulaire, est une espèce de poissons de l'ordre des Perciformes de la famille des Gobiidae.",,
